# time vreg
0.000000000000000000e+00 1.500000000000000000e+00
3.000750187546886786e-06 1.500000000000000000e+00
6.001500375093773572e-06 1.500000000000000000e+00
9.002250562640659511e-06 1.500000000000000000e+00
1.200300075018754714e-05 1.500000000000000000e+00
1.500375093773443478e-05 1.500000000000000000e+00
1.800450112528131902e-05 1.500000000000000000e+00
2.100525131282820666e-05 1.500000000000000000e+00
2.400600150037509429e-05 1.500000000000000000e+00
2.700675168792198192e-05 1.500000000000000000e+00
3.000750187546886955e-05 1.500000000000000000e+00
3.300825206301575719e-05 1.500000000000000000e+00
3.600900225056263804e-05 1.500000000000000000e+00
3.900975243810952568e-05 1.500000000000000000e+00
4.201050262565641331e-05 1.500000000000000000e+00
4.501125281320330094e-05 1.500000000000000000e+00
4.801200300075018858e-05 1.500000000000000000e+00
5.101275318829707621e-05 1.500000000000000000e+00
5.401350337584396384e-05 1.500000000000000000e+00
5.701425356339085148e-05 1.500000000000000000e+00
6.001500375093773911e-05 1.500000000000000000e+00
6.301575393848461997e-05 1.500000000000000000e+00
6.601650412603151438e-05 1.500000000000000000e+00
6.901725431357839523e-05 1.500000000000000000e+00
7.201800450112527609e-05 1.500000000000000000e+00
7.501875468867217050e-05 1.500000000000000000e+00
7.801950487621905136e-05 1.500000000000000000e+00
8.102025506376594576e-05 1.500000000000000000e+00
8.402100525131282662e-05 1.500000000000000000e+00
8.702175543885972103e-05 1.500000000000000000e+00
9.002250562640660189e-05 1.500000000000000000e+00
9.302325581395349630e-05 1.500000000000000000e+00
9.602400600150037715e-05 1.500000000000000000e+00
9.902475618904725801e-05 1.500000000000000000e+00
1.020255063765941524e-04 1.500000000000000000e+00
1.050262565641410333e-04 1.500000000000000000e+00
1.080270067516879277e-04 1.500000000000000000e+00
1.110277569392348085e-04 1.500000000000000000e+00
1.140285071267817030e-04 1.500000000000000000e+00
1.170292573143285838e-04 1.500000000000000000e+00
1.200300075018754782e-04 1.500000000000000000e+00
1.230307576894223455e-04 1.500000000000000000e+00
1.260315078769692399e-04 1.500000000000000000e+00
1.290322580645161343e-04 1.500000000000000000e+00
1.320330082520630288e-04 1.500000000000000000e+00
1.350337584396098961e-04 1.500000000000000000e+00
1.380345086271567905e-04 1.500000000000000000e+00
1.410352588147036849e-04 1.500000000000000000e+00
1.440360090022505522e-04 1.500000000000000000e+00
1.470367591897974466e-04 1.500000000000000000e+00
1.500375093773443410e-04 1.500000000000000000e+00
1.530382595648912354e-04 1.500000000000000000e+00
1.560390097524381027e-04 1.500000000000000000e+00
1.590397599399849971e-04 1.500000000000000000e+00
1.620405101275318915e-04 1.500000000000000000e+00
1.650412603150787859e-04 1.500000000000000000e+00
1.680420105026256532e-04 1.500000000000000000e+00
1.710427606901725477e-04 1.500000000000000000e+00
1.740435108777194421e-04 1.500000000000000000e+00
1.770442610652663094e-04 1.500000000000000000e+00
1.800450112528132038e-04 1.500000000000000000e+00
1.830457614403600982e-04 1.500000000000000000e+00
1.860465116279069926e-04 1.500000000000000000e+00
1.890472618154538599e-04 1.500000000000000000e+00
1.920480120030007543e-04 1.500000000000000000e+00
1.950487621905476487e-04 1.500000000000000000e+00
1.980495123780945160e-04 1.500000000000000000e+00
2.010502625656414104e-04 1.500000000000000000e+00
2.040510127531883048e-04 1.500000000000000000e+00
2.070517629407351992e-04 1.500000000000000000e+00
2.100525131282820666e-04 1.500000000000000000e+00
2.130532633158289610e-04 1.500000000000000000e+00
2.160540135033758554e-04 1.500000000000000000e+00
2.190547636909227227e-04 1.500000000000000000e+00
2.220555138784696171e-04 1.500000000000000000e+00
2.250562640660165115e-04 1.500000000000000000e+00
2.280570142535634059e-04 1.500000000000000000e+00
2.310577644411102732e-04 1.500000000000000000e+00
2.340585146286571676e-04 1.500000000000000000e+00
2.370592648162040620e-04 1.500000000000000000e+00
2.400600150037509564e-04 1.500000000000000000e+00
2.430607651912978237e-04 1.500000000000000000e+00
2.460615153788446910e-04 1.500000000000000000e+00
2.490622655663916126e-04 1.500000000000000000e+00
2.520630157539384799e-04 1.500000000000000000e+00
2.550637659414854014e-04 1.500000000000000000e+00
2.580645161290322687e-04 1.500000000000000000e+00
2.610652663165791360e-04 1.500000000000000000e+00
2.640660165041260575e-04 1.500000000000000000e+00
2.670667666916729248e-04 1.500000000000000000e+00
2.700675168792197921e-04 1.500000000000000000e+00
2.730682670667667136e-04 1.500000000000000000e+00
2.760690172543135809e-04 1.500000000000000000e+00
2.790697674418604482e-04 1.500000000000000000e+00
2.820705176294073697e-04 1.500000000000000000e+00
2.850712678169542371e-04 1.500000000000000000e+00
2.880720180045011044e-04 1.500000000000000000e+00
2.910727681920480259e-04 1.500000000000000000e+00
2.940735183795948932e-04 1.500000000000000000e+00
2.970742685671418147e-04 1.500000000000000000e+00
3.000750187546886820e-04 1.500000000000000000e+00
3.030757689422355493e-04 1.500000000000000000e+00
3.060765191297824708e-04 1.500000000000000000e+00
3.090772693173293381e-04 1.500000000000000000e+00
3.120780195048762054e-04 1.500000000000000000e+00
3.150787696924231269e-04 1.500000000000000000e+00
3.180795198799699942e-04 1.500000000000000000e+00
3.210802700675168615e-04 1.500000000000000000e+00
3.240810202550637831e-04 1.500000000000000000e+00
3.270817704426106504e-04 1.500000000000000000e+00
3.300825206301575719e-04 1.500000000000000000e+00
3.330832708177044392e-04 1.500000000000000000e+00
3.360840210052513065e-04 1.500000000000000000e+00
3.390847711927982280e-04 1.500000000000000000e+00
3.420855213803450953e-04 1.500000000000000000e+00
3.450862715678919626e-04 1.500000000000000000e+00
3.480870217554388841e-04 1.500000000000000000e+00
3.510877719429857514e-04 1.500000000000000000e+00
3.540885221305326187e-04 1.500000000000000000e+00
3.570892723180795402e-04 1.500000000000000000e+00
3.600900225056264076e-04 1.500000000000000000e+00
3.630907726931732749e-04 1.500000000000000000e+00
3.660915228807201964e-04 1.500000000000000000e+00
3.690922730682670637e-04 1.500000000000000000e+00
3.720930232558139852e-04 1.500000000000000000e+00
3.750937734433608525e-04 1.500000000000000000e+00
3.780945236309077198e-04 1.500000000000000000e+00
3.810952738184546413e-04 1.500000000000000000e+00
3.840960240060015086e-04 1.500000000000000000e+00
3.870967741935483759e-04 1.500000000000000000e+00
3.900975243810952974e-04 1.500000000000000000e+00
3.930982745686421647e-04 1.500000000000000000e+00
3.960990247561890320e-04 1.500000000000000000e+00
3.990997749437359536e-04 1.500000000000000000e+00
4.021005251312828209e-04 1.500000000000000000e+00
4.051012753188297424e-04 1.500000000000000000e+00
4.081020255063766097e-04 1.500000000000000000e+00
4.111027756939234770e-04 1.500000000000000000e+00
4.141035258814703985e-04 1.500000000000000000e+00
4.171042760690172658e-04 1.500000000000000000e+00
4.201050262565641331e-04 1.500000000000000000e+00
4.231057764441110546e-04 1.500000000000000000e+00
4.261065266316579219e-04 1.500000000000000000e+00
4.291072768192047892e-04 1.500000000000000000e+00
4.321080270067517107e-04 1.500000000000000000e+00
4.351087771942985780e-04 1.500000000000000000e+00
4.381095273818454454e-04 1.500000000000000000e+00
4.411102775693923669e-04 1.500000000000000000e+00
4.441110277569392342e-04 1.500000000000000000e+00
4.471117779444861557e-04 1.500000000000000000e+00
4.501125281320330230e-04 1.500000000000000000e+00
4.531132783195798903e-04 1.500000000000000000e+00
4.561140285071268118e-04 1.500000000000000000e+00
4.591147786946736791e-04 1.500000000000000000e+00
4.621155288822205464e-04 1.500000000000000000e+00
4.651162790697674679e-04 1.500000000000000000e+00
4.681170292573143352e-04 1.500000000000000000e+00
4.711177794448612025e-04 1.500000000000000000e+00
4.741185296324081241e-04 1.500000000000000000e+00
4.771192798199549914e-04 1.500000000000000000e+00
4.801200300075019129e-04 1.500000000000000000e+00
4.831207801950487802e-04 1.500000000000000000e+00
4.861215303825956475e-04 1.500000000000000000e+00
4.891222805701425690e-04 1.500000000000000000e+00
4.921230307576893821e-04 1.500000000000000000e+00
4.951237809452363036e-04 1.500000000000000000e+00
4.981245311327832251e-04 1.500000000000000000e+00
5.011252813203301466e-04 1.500000000000000000e+00
5.041260315078769597e-04 1.500000000000000000e+00
5.071267816954238812e-04 1.500000000000000000e+00
5.101275318829708028e-04 1.500000000000000000e+00
5.131282820705176159e-04 1.500000000000000000e+00
5.161290322580645374e-04 1.500000000000000000e+00
5.191297824456114589e-04 1.500000000000000000e+00
5.221305326331582720e-04 1.500000000000000000e+00
5.251312828207051935e-04 1.500000000000000000e+00
5.281320330082521150e-04 1.500000000000000000e+00
5.311327831957989281e-04 1.500000000000000000e+00
5.341335333833458496e-04 1.500000000000000000e+00
5.371342835708927711e-04 1.500000000000000000e+00
5.401350337584395842e-04 1.500000000000000000e+00
5.431357839459865057e-04 1.500000000000000000e+00
5.461365341335334272e-04 1.500000000000000000e+00
5.491372843210802403e-04 1.500000000000000000e+00
5.521380345086271619e-04 1.500000000000000000e+00
5.551387846961740834e-04 1.500000000000000000e+00
5.581395348837208965e-04 1.500000000000000000e+00
5.611402850712678180e-04 1.500000000000000000e+00
5.641410352588147395e-04 1.500000000000000000e+00
5.671417854463615526e-04 1.500000000000000000e+00
5.701425356339084741e-04 1.500000000000000000e+00
5.731432858214553956e-04 1.500000000000000000e+00
5.761440360090022087e-04 1.500000000000000000e+00
5.791447861965491302e-04 1.500000000000000000e+00
5.821455363840960517e-04 1.500000000000000000e+00
5.851462865716429733e-04 1.500000000000000000e+00
5.881470367591897863e-04 1.500000000000000000e+00
5.911477869467367079e-04 1.500000000000000000e+00
5.941485371342836294e-04 1.500000000000000000e+00
5.971492873218304425e-04 1.500000000000000000e+00
6.001500375093773640e-04 1.500000000000000000e+00
6.031507876969242855e-04 1.500000000000000000e+00
6.061515378844710986e-04 1.500000000000000000e+00
6.091522880720180201e-04 1.500000000000000000e+00
6.121530382595649416e-04 1.500000000000000000e+00
6.151537884471117547e-04 1.500000000000000000e+00
6.181545386346586762e-04 1.500000000000000000e+00
6.211552888222055977e-04 1.500000000000000000e+00
6.241560390097524108e-04 1.500000000000000000e+00
6.271567891972993324e-04 1.500000000000000000e+00
6.301575393848462539e-04 1.500000000000000000e+00
6.331582895723930670e-04 1.500000000000000000e+00
6.361590397599399885e-04 1.500000000000000000e+00
6.391597899474869100e-04 1.500000000000000000e+00
6.421605401350337231e-04 1.500000000000000000e+00
6.451612903225806446e-04 1.500000000000000000e+00
6.481620405101275661e-04 1.500000000000000000e+00
6.511627906976743792e-04 1.500000000000000000e+00
6.541635408852213007e-04 1.500000000000000000e+00
6.571642910727682222e-04 1.500000000000000000e+00
6.601650412603151438e-04 1.500000000000000000e+00
6.631657914478619568e-04 1.500000000000000000e+00
6.661665416354088784e-04 1.500000000000000000e+00
6.691672918229557999e-04 1.500000000000000000e+00
6.721680420105026130e-04 1.500000000000000000e+00
6.751687921980495345e-04 1.500000000000000000e+00
6.781695423855964560e-04 1.500000000000000000e+00
6.811702925731432691e-04 1.500000000000000000e+00
6.841710427606901906e-04 1.500000000000000000e+00
6.871717929482371121e-04 1.500000000000000000e+00
6.901725431357839252e-04 1.500000000000000000e+00
